date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-30,2026/82,SEK,1,4.8240,4.8740
2026-04-30,2026/82,USD,1,44.9692,45.0502
2026-05-04,2026/83,AED,1,12.2113,12.3711
2026-05-04,2026/83,AUD,1,32.3573,32.5683
2026-05-04,2026/83,AZN,1,26.3831,26.7283
2026-05-04,2026/83,CAD,1,33.1082,33.2575
2026-05-04,2026/83,CHF,1,57.4734,57.8424
2026-05-04,2026/83,CNY,1,6.5666,6.6525
2026-05-04,2026/83,DKK,1,7.0592,7.0939
2026-05-04,2026/83,EUR,1,52.8334,52.9286
2026-05-04,2026/83,GBP,1,61.0533,61.3716
2026-05-04,2026/83,JPY,100,28.6585,28.8482
2026-05-04,2026/83,KRW,1,0.03049,0.03089
2026-05-04,2026/83,KWD,1,146.4291,148.3451
2026-05-04,2026/83,KZT,1,0.09665,0.09791
2026-05-04,2026/83,NOK,1,4.8549,4.8876
2026-05-04,2026/83,PKR,1,0.16094,0.16305
2026-05-04,2026/83,QAR,1,12.3049,12.4659
2026-05-04,2026/83,RON,1,10.1054,10.2376
2026-05-04,2026/83,RUB,1,0.59424,0.60202
2026-05-04,2026/83,SAR,1,12.0258,12.0475
2026-05-04,2026/83,SEK,1,4.8548,4.9051
2026-05-04,2026/83,USD,1,45.1040,45.1853
2026-05-05,2026/84,AED,1,12.2197,12.3796
2026-05-05,2026/84,AUD,1,32.2380,32.4482
2026-05-05,2026/84,AZN,1,26.4006,26.7460
2026-05-05,2026/84,CAD,1,33.1037,33.2531
2026-05-05,2026/84,CHF,1,57.4680,57.8370
2026-05-05,2026/84,CNY,1,6.5709,6.6569
2026-05-05,2026/84,DKK,1,7.0490,7.0836
2026-05-05,2026/84,EUR,1,52.7563,52.8514
2026-05-05,2026/84,GBP,1,61.0074,61.3254
2026-05-05,2026/84,JPY,100,28.5988,28.7882
2026-05-05,2026/84,KRW,1,0.03045,0.03085
2026-05-05,2026/84,KWD,1,146.4545,148.3708
2026-05-05,2026/84,KZT,1,0.09657,0.09784
2026-05-05,2026/84,NOK,1,4.8619,4.8946
2026-05-05,2026/84,PKR,1,0.16105,0.16316
2026-05-05,2026/84,QAR,1,12.3130,12.4741
2026-05-05,2026/84,RON,1,10.0703,10.2021
2026-05-05,2026/84,RUB,1,0.59437,0.60215
2026-05-05,2026/84,SAR,1,12.0293,12.0510
2026-05-05,2026/84,SEK,1,4.8430,4.8931
2026-05-05,2026/84,USD,1,45.1339,45.2153
2026-05-06,2026/85,AED,1,12.2222,12.3822
2026-05-06,2026/85,AUD,1,32.6777,32.8908
2026-05-06,2026/85,AZN,1,26.4062,26.7518
2026-05-06,2026/85,CAD,1,33.1732,33.3228
2026-05-06,2026/85,CHF,1,57.8161,58.1873
2026-05-06,2026/85,CNY,1,6.5887,6.6749
2026-05-06,2026/85,DKK,1,7.0943,7.1291
2026-05-06,2026/85,EUR,1,53.0961,53.1917
2026-05-06,2026/85,GBP,1,61.3664,61.6863
2026-05-06,2026/85,JPY,100,28.8693,29.0605
2026-05-06,2026/85,KRW,1,0.03101,0.03141
